Comment,Designator,Footprint,LCSC
"10uF","C11,C31","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C15850"
"1uF","C12","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"100uF","C14","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"18pF","C2,C3","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1797"
"10nF","C25,C29","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1710"
"2.2nF","C28","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28260"
"680uF","C32","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"220uF","C33","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"10uF","C34","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","C7171"
"4.7uF","C36","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1779"
"100uF","C37","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
"Unpopulated","C39","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"2.2uF","C5,C7,C30","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49217"
"100nF","C1,C4,C6,C8,C9,C10,C13,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C26,C27,C35,C38","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"SK6812","D4,D5,D6,D7,D8,D9,D10,D11,D12,D13","LED_SMD:LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",""
"SS14","D14","Diode_SMD:D_SMA_Handsoldering","C2480"
"LED_Red","D15","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84256"
"LED_Yellow","D16","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"LED_Green","D17,D18","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"D_Zener_Small","D19","Diode_SMD:D_SMA_Handsoldering","C2480"
"LED_Blue","D1,D2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2293"
"Yellow","D20,D21","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"M7","D3","Diode_SMD:D_SMA_Handsoldering",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_2.7mm_M2.5",""
"GPIO1","J1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"I2C2_AUX","J10","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x02","J11,J12,J13,J14,J15,J18,J24","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"ME_L","J16","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"ME_R","J17","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Conn_02x02_Counter_Clockwise","J19,J20","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"GPIO2","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"AUX_IN","J21","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"AUX_OUT","J22","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"USB_B_Micro","J23","Connector_USB:USB_Micro-B_Molex_47346-0001",""
"GPIO3","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"AN8","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"AN9","J5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"AN15","J6","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Programming","J7","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"UART6_AUX","J8","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"SPI1_AUX","J9","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
