Comment,Designator,Footprint,LCSC
100nF,"C1,C4,C5,C7,C9,C10,C13,C27,C28,C37,C39",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C49678
10uF,"C11,C32",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C15850
1uF,C12,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323
4.7uF,C40,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1779
18pF,"C2,C3",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1797
10nF,"C26,C30",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1710
2.2nF,C29,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28260
2.2uF,"C6,C8,C31",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C49217
10uF,C35,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C7171
SS14,D14,Diode_SMD:D_SMA_Handsoldering,C2480
LED_Red,D15,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
LED_Yellow,D16,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296
LED_Green,"D17,D18",LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297
D_Zener_Small,D19,Diode_SMD:D_SMA_Handsoldering,C2480
LED_Blue,"D1,D2",LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2293
Yellow,"D20,D21",LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296
22uh,L1,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C32375
10k,"R11,R14",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17414
47R,"R12,R13,R24",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17714
47k,R20,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17713
470R,R21,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17710
330R,R22,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17630
220R,"R23,R25,R26",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17557
STM32F405RGTx,U1,Package_QFP:LQFP-64_10x10mm_P0.5mm,C15742
FT232RL,U11,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,C8690
MPU-6050,U6,Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm,C24112
DRV8833PWP,U7,Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506
LM2596S-5,U8,Package_TO_SOT_SMD:TO-263-5_TabPin3,C10002
AMS1117-3.3,U9,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
Crystal 25MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C9006
