Designator ,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.468510,-68.000000,90.000000,top
C2,18pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,156.475216,-87.024784,45.000000,top
C3,18pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151.600000,-82.200000,225.000000,top
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.543726,-83.724784,45.000000,top
C5,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.993726,-102.075216,315.000000,top
C6,2.2uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.268510,-84.500000,45.000000,top
C7,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,130.468510,-91.325000,270.000000,top
C8,2.2uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.393294,-102.624784,315.000000,top
C9,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.093726,-94.924784,225.000000,top
C10,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,152.968510,-93.600000,315.000000,top
C11,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151.568510,-96.400000,225.000000,top
C12,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,145.755101,-83.202892,315.000000,top
C13,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.197252,-81.748013,315.000000,top
C16,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.900000,-92.425000,270.000000,top
C18,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.443510,-134.800000,0.000000,top
C20,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,99.718510,-131.550000,90.000000,top
C22,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,99.718510,-90.175000,90.000000,top
C26,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.468510,-111.125000,270.000000,top
C27,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.468510,-111.175000,270.000000,top
C28,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.393510,-115.000000,0.000000,top
C29,2.2nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,144.468510,-107.175000,270.000000,top
C30,10nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.993510,-120.550000,180.000000,top
C31,2.2uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.218510,-120.550000,180.000000,top
C32,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140.943510,-118.550000,180.000000,top
C35,10uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,157.156010,-128.105000,180.000000,top
C37,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,122.218510,-146.800000,90.000000,top
C39,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,109.968510,-141.825000,90.000000,top
C40,4.7uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,122.218510,-142.800000,270.000000,top
D1,LED_Blue,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,117.968510,-65.525000,90.000000,top
D2,LED_Blue,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.968510,-65.525000,90.000000,top
D14,SS14,D_SMA_Handsoldering,166.468510,-119.600000,180.000000,top
D15,LED_Red,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,165.218510,-151.075000,270.000000,top
D16,LED_Yellow,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.468510,-150.775000,90.000000,top
D17,LED_Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.718510,-151.075000,270.000000,top
D18,LED_Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,156.218510,-151.075000,270.000000,top
D19,D_Zener_Small,D_SMA_Handsoldering,106.718510,-146.050000,270.000000,top
D20,Yellow,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.718510,-150.800000,270.000000,top
D21,Yellow,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.968510,-150.825000,270.000000,top
L1,22uh,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.743510,-125.442000,180.000000,top
R11,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.168510,-98.300000,90.000000,top
